Company/Bond,Quarter,Rating,Ending Date,Net Debt/EBITDA,Total Debt/EBIT,Net Debt/EBIT,EBITDA to Interest Expense,EBITDA-CapEx/Interest Expense,EBIT to Interest Expense,Interest Expense,Common Equity/Total Assets,Long-Term Debt/Equity,Long-Term Debt/Capital,Long-Term Debt/Total Assets,Total Debt/Equity,Total Debt/Capital,Total Debt/Total Assets,Number Rating,Rating Change
Frontier Communications Corp Senior Unsecured,Q4 2009,Ba2,40178,4.1,7.92,7.33,2.76,1.79,1.67,94.2,4.76,1413.91,93.26,69.7,1416.04,93.4,69.8,12,0
Frontier Communications Corp Senior Unsecured,Q1 2010,Ba2,40268,4.19,7.64,7.12,2.8,2.06,1.73,93.8,4.37,1559.17,93.84,70.6,1561.52,93.98,70.71,12,0
Frontier Communications Corp Senior Unsecured,Q2 2010,Ba2,40359,4.42,7.65,7.28,2.52,1.6,1.45,94,3.82,1767.31,94.51,70.61,1769.96,94.65,70.72,12,0
Frontier Communications Corp Senior Unsecured,Q3 2010,Ba2,40451,5.93,11.98,11.47,3.44,2.4,1.4,166.6,29.57,153.39,60.18,45.47,154.89,60.77,45.91,12,0
Frontier Communications Corp Senior Unsecured,Q4 2010,Ba2,40543,4.81,10.7,10.38,3.54,2.06,1.43,167.5,29.05,153.25,59.26,44.63,158.62,61.33,46.19,12,0
Frontier Communications Corp Senior Unsecured,Q1 2011,Ba2,40633,3.94,9.6,9.19,3.59,2.35,1.5,167.4,28.51,157.18,59.83,44.92,162.69,61.93,46.49,12,0
Frontier Communications Corp Senior Unsecured,Q2 2011,Ba2,40724,3.36,8.51,8.27,3.58,2.24,1.43,166.9,27.86,161.91,60.86,45.23,166.03,62.41,46.38,12,0
Frontier Communications Corp Senior Unsecured,Q3 2011,Ba2,40816,3.44,9.02,8.79,3.21,1.6,1.09,165.8,27.22,170.65,62.84,46.59,171.56,63.18,46.84,12,0
Frontier Communications Corp Senior Unsecured,Q4 2011,Ba2,40908,3.46,9.23,8.86,3.46,2.7,1.4,165.2,25.52,183.61,64.26,47,185.72,65,47.53,12,0
Frontier Communications Corp Senior Unsecured,Q1 2012,Ba2,40999,3.5,9.67,9.24,3.43,2.07,1.26,164.9,25.48,173.06,60.01,44.22,188.39,65.32,48.14,12,0
Frontier Communications Corp Senior Unsecured,Q2 2012,Ba2,41090,3.51,9.34,8.88,3.34,2.3,1.56,172.1,25.17,177.08,60.79,44.74,191.32,65.67,48.33,12,0
Frontier Communications Corp Senior Unsecured,Q3 2012,Ba2,41182,3.39,9.02,7.9,3.33,2.14,1.6,172.2,24.04,191.89,62.76,46.29,205.75,67.29,49.64,12,0
Frontier Communications Corp Senior Unsecured,Q4 2012,Ba2,41274,3.38,9.06,7.71,3.02,1.94,1.32,178.9,23.16,203.48,64.17,47.27,217.09,68.46,50.43,12,0
Frontier Communications Corp Senior Unsecured,Q1 2013,Ba2,41364,3.37,8.18,7.33,3.23,2.13,1.46,171.4,23.88,205.6,66.97,49.2,207.02,67.43,49.54,12,0
Frontier Communications Corp Senior Unsecured,Q2 2013,Ba2,41455,3.41,7.94,7.4,3.39,2.56,1.6,166.5,23.7,200.79,65.33,47.6,207.34,67.46,49.15,12,0
Frontier Communications Corp Senior Unsecured,Q3 2013,Ba2,41547,3.48,8.49,7.81,3,2.04,1.26,163.8,23.68,201.92,65.45,47.82,208.53,67.59,49.38,12,0
Frontier Communications Corp Senior Unsecured,Q4 2013,Ba2,41639,3.37,8.29,7.39,3.26,2.35,1.56,165.6,24.38,194.15,64.61,47.33,200.51,66.72,48.88,12,0
Frontier Communications Corp Senior Unsecured,Q1 2014,Ba2,41729,3.41,8.5,7.5,2.97,2.12,1.32,171,24.27,194.18,64.02,47.14,203.33,67.03,49.36,12,0
Frontier Communications Corp Senior Unsecured,Q2 2014,Ba2,41820,3.49,8.66,7.78,2.97,2.03,1.34,167.6,24.37,194.03,64.53,47.29,200.69,66.74,48.91,12,0
Frontier Communications Corp Senior Unsecured,Q3 2014,Ba2,41912,4.31,10.44,9.55,2.69,1.55,1.16,170.4,22.07,235.98,68.85,52.07,242.73,70.82,53.56,12,0
Frontier Communications Corp Senior Unsecured,Q4 2014,Ba3,42004,4.6,11.82,10.99,2.66,1.49,0.92,186.6,19.45,256.78,70.36,49.94,264.93,72.6,51.52,13,1
Frontier Communications Corp Senior Unsecured,Q1 2015,Ba3,42094,4.68,12.76,12.09,2.06,1.32,0.67,245,18.73,269.86,71.89,50.55,275.36,73.36,51.58,13,0
,,,,,,,,,,,,,,,,,,,
Apple Unsecured Domestic,Q1 2013,Aa1,41272,-2.31,0,-2.49,-1000000,-1000000,-1000000,0,64.94,0,0,0,0,0,0,2,0
Apple Unsecured Domestic,Q2 2013,Aa1,41363,-2.52,0,-2.77,-1000000,-1000000,-1000000,0,69.57,0,0,0,0,0,0,2,0
Apple Unsecured Domestic,Q3 2013,Aa1,41454,-2.32,0.34,-2.6,205.57,170,173.6,53,61.72,13.75,12.09,8.49,13.75,12.09,8.49,2,0
Apple Unsecured Domestic,Q4 2013,Aa1,41545,-2.33,0.35,-2.65,142.33,118.77,120.84,83,59.69,13.73,12.07,8.19,13.73,12.07,8.19,2,0
Apple Unsecured Domestic,Q1 2014,Aa1,41636,-2.51,0.34,-2.88,233.42,209.79,207.89,84,57.59,13.08,11.57,7.53,13.08,11.57,7.53,2,0
Apple Unsecured Domestic,Q2 2014,Aa1,41727,-2.31,0.34,-2.66,182.12,165.86,159.92,85,58.34,14.11,12.37,8.23,14.11,12.37,8.23,2,0
Apple Unsecured Domestic,Q3 2014,Aa1,41818,-2.26,0.6,-2.6,122.28,98.5,102.82,100,54.35,24,19.1,13.05,25.67,20.42,13.95,2,0
Apple Unsecured Domestic,Q4 2014,Aa1,41909,-1.98,0.67,-2.28,114.21,80.94,97.09,115,48.11,25.99,19.74,12.5,31.64,24.04,15.22,2,0
Apple Unsecured Domestic,Q1 2015,Aa1,42000,-2.09,0.61,-2.39,204.74,180.18,185.08,131,47.09,26.36,20.35,12.41,29.52,22.79,13.9,2,0
Apple Unsecured Domestic,Q2 2015,Aa1,42091,-2.05,0.69,-2.34,127.34,112.81,112.13,163,49.39,31.06,23.18,15.34,34.01,25.38,16.8,2,0
Apple Unsecured Domestic,Q3 2015,Aa1,42182,-1.91,0.8,-2.19,85.41,75.24,70.06,201,46.01,37.73,26.33,17.36,43.3,30.22,19.92,2,0
Apple Unsecured Domestic,Q4 2015,Aa1,42273,-1.71,0.9,-1.98,74.55,59.34,61.44,238,41.09,44.79,29.08,18.41,54.01,35.07,22.19,2,0
Apple Unsecured Domestic,Q1 2016,Aa1,42364,-1.85,0.88,-2.15,98.28,85.19,87.58,276,43.73,41.48,27.82,18.14,49.09,32.93,21.47,2,0
Apple Unsecured Domestic,Q2 2016,Aa1,42455,-1.95,1.19,-2.29,51.29,44.01,43.57,321,42.73,53.18,32.98,22.72,61.22,37.97,26.16,2,0
,,,,,,,,,,,,,,,,,,,
Tenet Healthcare Senior Unsecured (Domestic),Q4 2000,Ba1,36677,2.81,4.05,3.87,4.31,2.42,3.18,118,30.89,139.4,58.18,43.07,139.62,58.27,43.14,11,0
Tenet Healthcare Senior Unsecured (Domestic),Q1 2001,Ba1,36769,2.63,3.72,3.59,4.2,3.23,3.09,123,32.79,126.35,55.76,41.43,126.58,55.87,41.51,11,0
Tenet Healthcare Senior Unsecured (Domestic),Q2 2001,Ba1,36860,2.36,3.32,3.2,4.55,3.54,3.4,118,34.94,110.1,52.35,38.47,110.3,52.45,38.53,11,0
Tenet Healthcare Senior Unsecured (Domestic),Q3 2001,Ba1,36950,2.2,3.05,2.95,5.12,3.73,3.88,113,37.29,98.3,49.5,36.65,98.58,49.64,36.76,11,0
Tenet Healthcare Senior Unsecured (Domestic),Q4 2001,Baa3,37042,1.81,2.5,2.4,6,3.99,4.61,102,39.08,82.73,45.15,32.34,83.23,45.42,32.53,10,-1
Tenet Healthcare Senior Unsecured (Domestic),Q1 2002,Baa3,37134,1.79,2.46,2.36,6.45,4.3,4.92,97,39.5,82.55,45.08,32.61,83.12,45.39,32.83,10,0
Tenet Healthcare Senior Unsecured (Domestic),Q2 2002,Baa3,37225,1.68,2.28,2.19,7.88,5.49,6.13,86,39.49,81.51,44.74,32.19,82.17,45.11,32.45,10,0
Tenet Healthcare Senior Unsecured (Domestic),Q3 2002,Baa3,37315,1.57,2.11,2.03,9.61,7.37,7.56,75,40.07,78.46,43.93,31.44,78.63,44.02,31.5,10,0
Tenet Healthcare Senior Unsecured (Domestic),Q4 2002,Baa3,37407,1.39,1.83,1.77,11.19,6.75,9.01,69,40.68,69.75,40.67,28.37,71.51,41.69,29.09,10,0
Tenet Healthcare Senior Unsecured (Domestic),Q1 2003,Baa3,37711,1.36,1.79,1.69,9.14,6.63,7.77,71,41.97,70.09,41.03,29.41,70.8,41.45,29.71,10,0
Tenet Healthcare Senior Unsecured (Domestic),Q2 2003,Ba3,37802,1.5,2.07,1.9,4.64,1.93,3,73,40.92,72.79,42.03,29.79,73.21,42.27,29.96,13,3
Tenet Healthcare Senior Unsecured (Domestic),Q3 2003,Ba3,37894,1.97,2.86,2.64,1.85,-0.14,0.32,73,39.12,76.48,43.23,29.92,76.92,43.48,30.09,13,0
Tenet Healthcare Senior Unsecured (Domestic),Q4 2004,B3,38352,7.85,55.45,45.81,1.84,0.79,0.76,92,16.85,258.68,71.64,43.6,261.09,72.31,44,16,3
Tenet Healthcare Senior Unsecured (Domestic),Q1 2005,B3,38442,7.14,81.37,54.1,2.24,1.29,1.29,101,17.2,272.17,72.92,46.81,273.25,73.21,47,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q2 2005,B3,38533,4.73,15.7,10.25,1.35,-0.5,0.73,102,17.11,272.59,72.94,46.63,273.73,73.24,46.83,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q3 2005,B3,38625,5.16,17.15,11.64,0.97,0.23,0.06,101,13.68,350.92,77.57,47.99,352.38,77.89,48.19,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q4 2005,B3,38717,5.85,18.98,13.54,1.23,-0.45,0.43,100,10.41,468.56,82.14,48.76,470.42,82.47,48.95,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q1 2006,B3,38807,6.54,18.62,14.8,2.21,1.07,1.32,102,11.77,435.4,81.06,51.25,437.12,81.38,51.45,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q2 2006,B3,38898,6.53,15.45,13.59,1.99,0.77,1.26,101,7.68,677.09,86.83,52.03,679.77,87.18,52.24,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q3 2006,Caa1,38990,6.01,14.23,11.79,1.08,0.08,0.31,104,6.98,754.2,87.68,52.63,760.22,88.38,53.05,17,1
Tenet Healthcare Senior Unsecured (Domestic),Q4 2006,Caa1,39082,5.73,13.51,11.18,1.5,-1.61,0.59,102,3.09,1803.03,94.33,55.74,1811.36,94.77,56,17,0
Tenet Healthcare Senior Unsecured (Domestic),Q1 2007,Caa1,39172,6.31,14.77,12.85,1.85,0.9,1,105,2.02,2851.5,96.18,57.55,2864.67,96.63,57.81,17,0
Tenet Healthcare Senior Unsecured (Domestic),Q2 2007,Caa1,39263,6.66,17.86,15.19,1.45,0.08,0.68,105,1.81,3197.32,96.53,57.72,3212.08,96.98,57.99,17,0
Tenet Healthcare Senior Unsecured (Domestic),Q3 2007,Caa1,39355,6.16,15.09,12.91,1.55,0,0.76,105,1.23,4718.81,97.9,57.87,4719.8,97.93,57.89,17,0
Tenet Healthcare Senior Unsecured (Domestic),Q4 2007,Caa1,39447,6.21,14.59,12.78,1.58,-1.05,0.68,104,0.64,8835.19,98.86,56.84,8837.04,98.88,56.86,17,0
Tenet Healthcare Senior Unsecured (Domestic),Q1 2008,Caa1,39538,6.46,13.76,12.92,2.07,0.54,1.2,104,0.39,14915.63,99.29,58.39,14921.88,99.33,58.42,17,0
Tenet Healthcare Senior Unsecured (Domestic),Q2 2008,Caa1,39629,6.23,13.81,12.77,1.64,0.36,0.69,102,0.35,16465.52,99.35,57.93,16472.41,99.4,57.95,17,0
Tenet Healthcare Senior Unsecured (Domestic),Q3 2008,Caa1,39721,6.01,14.39,12.71,1.47,0.45,0.62,106,1.64,3512.5,97.19,57.6,3513.97,97.23,57.62,17,0
Tenet Healthcare Senior Unsecured (Domestic),Q4 2008,Caa1,39813,5.74,12.88,11.47,1.92,0.7,1.04,106,1.26,3250.34,96.98,58.45,3251.7,97.02,58.48,17,0
Tenet Healthcare Senior Unsecured (Domestic),Q1 2009,Caa1,39903,4.98,11,9.44,2.47,1.55,1.6,110,3.6,1372.49,93.17,57.33,1373.08,93.21,57.35,17,0
Tenet Healthcare Senior Unsecured (Domestic),Q2 2009,Caa2,39994,4.45,9.44,7.88,1.96,1.24,1.15,120,3.61,1388.59,93.24,58.32,1389.19,93.28,58.35,18,1
Tenet Healthcare Senior Unsecured (Domestic),Q3 2009,Caa2,40086,3.74,7.66,6.32,2.05,1.24,1.19,112,3.71,634.03,86.34,54.18,634.32,86.38,54.2,18,0
Tenet Healthcare Senior Unsecured (Domestic),Q4 2009,Caa2,40178,3.87,7.94,6.64,1.81,-0.06,0.88,103,3.92,612.91,85.94,53.72,613.2,85.98,53.74,18,0
Tenet Healthcare Senior Unsecured (Domestic),Q1 2010,Caa2,40268,3.89,7.59,6.54,2.72,1.95,1.84,109,5.18,539.95,84.34,54.65,540.2,84.38,54.68,18,0
Tenet Healthcare Senior Unsecured (Domestic),Q2 2010,B3,40359,3.63,7.17,5.97,2.5,1.79,1.6,107,5.59,517.19,83.76,54.53,517.43,83.8,54.56,16,-2
Tenet Healthcare Senior Unsecured (Domestic),Q3 2010,B3,40451,3.86,7.25,6.53,1.85,0.85,0.91,107,16.13,229.99,69.67,47.53,230.1,69.71,47.56,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q4 2010,B3,40543,3.56,6.41,5.77,2.63,0.69,1.63,101,16.85,219.74,67.94,47.02,223.42,69.08,47.81,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q1 2011,B3,40633,3.49,5.9,5.51,3.05,2.07,2.19,118,17.71,210.38,67.01,47.09,213.94,68.15,47.89,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q2 2011,B3,40724,3.53,6,5.62,2.74,1.91,1.68,98,17.5,212.86,66.58,47.29,219.69,68.72,48.81,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q3 2011,B3,40816,3.66,6.13,5.85,2.92,1.29,1.34,59,16.45,223.19,67.54,47.82,230.44,69.74,49.38,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q4 2011,B3,40908,4.02,6.63,6.45,2.55,0.82,1.55,100,13.06,284.75,73.18,50.74,289.12,74.3,51.52,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q1 2012,B3,40999,4.46,7.59,7.42,3.15,1.77,2.09,98,13.18,277.63,70.07,50.26,296.25,74.76,53.63,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q2 2012,B3,41090,4.59,7.67,7.54,2.75,1.62,1.76,102,13.33,362.33,75.27,53.16,381.37,79.23,55.96,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q3 2012,B3,41182,4.22,6.86,6.74,2.55,1.51,1.49,103,13.92,350.82,74.69,53.22,369.73,78.71,56.09,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q4 2012,B3,41274,4.15,7.01,6.53,3,1.64,1.94,109,12.64,417.99,79.53,57.03,425.61,80.97,58.07,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q1 2013,B3,41364,4.72,7.87,7.73,2.52,1.23,1.42,103,10.87,496.77,82.58,60.29,501.57,83.38,60.87,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q2 2013,B3,41455,4.73,7.91,7.79,3.3,2.04,2.06,98,9.78,524.41,83.09,60.77,531.1,84.15,61.54,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q3 2013,B3,41547,4.88,8.24,8.12,2.93,1.37,1.63,91,8.84,567.3,83.36,60.94,580.56,85.31,62.36,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q4 2013,B3,41639,8.89,16.36,16.19,1.97,0.36,0.92,182,4.59,878.16,88.64,65.02,890.72,89.91,65.95,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q1 2014,B3,41729,8.46,16.35,16.15,1.99,0.45,0.93,182,4.42,946.65,85.89,64.38,1002.14,90.93,68.15,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q2 2014,B3,41820,7.95,16.71,16.12,2.19,0.92,1.09,190,4.28,951.48,86.06,64.72,1005.57,90.95,68.4,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q3 2014,B3,41912,7.3,15.3,15.04,2.25,1.11,1.13,186,4.25,907.69,89.39,66.17,915.45,90.15,66.73,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q4 2014,B3,42004,6.44,12.56,12.35,2.94,1.93,1.72,196,3.63,970.07,89.86,64.09,979.51,90.74,64.72,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q1 2015,B3,42094,6.37,11.8,11.63,2.5,1.57,1.46,199,4.55,1002.03,87.49,64.17,1045.25,91.27,66.94,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q2 2015,B3,42185,7.8,14.72,14.43,1.66,0.86,0.76,217,3.53,561.02,84.3,64.35,565.5,84.97,64.86,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q3 2015,B3,42277,7.5,13.69,13.27,1.9,1.07,1.16,248,3.46,542.3,83.89,63.19,546.44,84.53,63.67,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q4 2015,B3,42369,7.64,13.74,13.4,2.11,1,1.27,248,2.92,446.12,81.1,60.73,450.06,81.82,61.27,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q1 2016,B3,42460,7.2,13.05,12.39,2.3,1.44,1.43,243,2.63,433.93,80.49,60.38,439.13,81.45,61.1,16,0
Tenet Healthcare Senior Unsecured (Domestic),Q2 2016,Caa1,42551,6.8,11.93,11.39,1.98,1.14,1.09,244,2.16,417.86,79.88,59.08,423.14,80.88,59.82,17,1
Tenet Healthcare Senior Unsecured (Domestic),Q3 2016,Caa1,42643,6.59,11.5,10.98,2.21,1.39,1.37,243,2.16,412.53,79.67,58.52,417.83,80.69,59.28,17,0
,,,,,,,,,,,,,,,,,,,
Deutsche Bank Unsecured Domestic,Q1 2007,Aa1,39172,-1000000,58.69,44.81,-1000000,-1000000,-1000000,-1000000,2.07,429.36,28.73,9.06,1394.51,93.31,29.42,2,0
Deutsche Bank Unsecured Domestic,Q2 2007,Aa1,39263,-1000000,58.84,45.78,-1000000,-1000000,-1000000,-1000000,1.87,465.73,29.6,8.89,1473.29,93.64,28.13,2,0
Deutsche Bank Unsecured Domestic,Q3 2007,Aa1,39355,-1000000,60.27,47.75,-1000000,-1000000,-1000000,-1000000,1.96,474.53,30.82,9.48,1439.55,93.5,28.76,2,0
Deutsche Bank Unsecured Domestic,Q4 2007,Aa1,39447,-1000000,44.03,32.31,-1000000,-1000000,-1000000,-1000000,1.83,345.88,32.2,6.59,974.27,90.69,18.55,2,0
Deutsche Bank Unsecured Domestic,Q1 2008,Aa1,39538,-1000000,79.88,55.35,-1000000,-1000000,-1000000,-1000000,1.48,369.77,29.77,5.81,1142.27,91.95,17.96,2,0
Deutsche Bank Unsecured Domestic,Q2 2008,Aa1,39629,-1000000,113.39,80.42,-1000000,-1000000,-1000000,-1000000,1.6,411.38,35.04,6.96,1073.87,91.48,18.16,2,0
Deutsche Bank Unsecured Domestic,Q2 2009,Aa1,39994,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,1.98,408.16,42.92,8.35,851.07,89.49,17.41,2,0
Deutsche Bank Unsecured Domestic,Q3 2009,Aa1,40086,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,2.08,408.16,44.31,8.77,821.07,89.14,17.64,2,0
Deutsche Bank Unsecured Domestic,Q4 2009,Aa1,40178,-1000000,58.49,37.7,-1000000,-1000000,-1000000,-1000000,2.44,325.17,36.44,8.23,792.27,88.79,20.05,2,0
Deutsche Bank Unsecured Domestic,Q1 2010,Aa3,40268,-1000000,57.83,35.53,-1000000,-1000000,-1000000,-1000000,2.34,384.29,41.36,9.24,829.24,89.24,19.95,4,-2
Deutsche Bank Unsecured Domestic,Q2 2010,Aa3,40359,-1000000,53.87,31.08,-1000000,-1000000,-1000000,-1000000,2.16,372.99,42.89,8.25,769.71,88.5,17.02,4,0
Deutsche Bank Unsecured Domestic,Q3 2010,Aa3,40451,-1000000,89.77,49.3,-1000000,-1000000,-1000000,-1000000,1.97,391.2,41.49,7.9,842.98,89.4,17.02,4,0
Deutsche Bank Unsecured Domestic,Q4 2010,Aa3,40543,-1000000,95.29,51.67,-1000000,-1000000,-1000000,-1000000,2.56,303.7,38.52,8.03,688.52,87.32,18.21,4,0
Deutsche Bank Unsecured Domestic,Q1 2011,Aa3,40633,-1000000,85.61,46.58,-1000000,-1000000,-1000000,-1000000,2.71,335.8,43.28,9.4,675.9,87.11,18.93,4,0
Deutsche Bank Unsecured Domestic,Q2 2011,Aa3,40724,-1000000,83.08,45.35,-1000000,-1000000,-1000000,-1000000,2.71,331.92,41.51,9.27,699.66,87.49,19.55,4,0
Deutsche Bank Unsecured Domestic,Q3 2011,Aa3,40816,-1000000,59.5,25.94,-1000000,-1000000,-1000000,-1000000,2.27,322.56,39.9,7.51,708.43,87.63,16.48,4,0
Deutsche Bank Unsecured Domestic,Q4 2011,Aa3,40908,-1000000,61.63,20.05,-1000000,-1000000,-1000000,-1000000,2.47,266.09,36.08,6.72,637.4,86.44,16.1,4,0
Deutsche Bank Unsecured Domestic,Q1 2012,Aa3,40999,-1000000,79.96,33.67,-1000000,-1000000,-1000000,-1000000,2.61,313.87,41.07,8.33,664.28,86.92,17.62,4,0
Deutsche Bank Unsecured Domestic,Q2 2012,A2,41090,-1000000,100.58,36.57,-1000000,-1000000,-1000000,-1000000,2.49,305.36,38.92,7.68,684.6,87.25,17.22,6,-2
Deutsche Bank Unsecured Domestic,Q3 2012,A2,41182,-1000000,94,32.33,-1000000,-1000000,-1000000,-1000000,2.6,295.85,39.93,7.77,640.89,86.5,16.83,6,0
Deutsche Bank Unsecured Domestic,Q4 2012,A2,41274,-1000000,511.19,190,-1000000,-1000000,-1000000,-1000000,2.67,238.75,33.46,6.4,613.55,85.99,16.46,6,0
Deutsche Bank Unsecured Domestic,Q1 2013,A2,41364,-1000000,340.25,122.89,-1000000,-1000000,-1000000,-1000000,2.75,286.07,40.72,7.89,602.5,85.77,16.62,6,0
Deutsche Bank Unsecured Domestic,Q2 2013,A2,41455,-1000000,413.55,177.47,-1000000,-1000000,-1000000,-1000000,3.01,268.63,41.23,8.12,551.55,84.65,16.67,6,0
Deutsche Bank Unsecured Domestic,Q3 2013,A2,41547,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,3.16,270.83,42,8.6,544.82,84.49,17.3,6,0
Deutsche Bank Unsecured Domestic,Q4 2013,A2,41639,-1000000,254.15,122.26,-1000000,-1000000,-1000000,-1000000,3.4,206.75,34.31,7.05,502.61,83.41,17.14,6,0
Deutsche Bank Unsecured Domestic,Q1 2014,A2,41729,-1000000,1167.45,557.5,-1000000,-1000000,-1000000,-1000000,3.41,255.54,43.33,8.75,489.76,83.04,16.76,6,0
Deutsche Bank Unsecured Domestic,Q2 2014,A3,41820,-1000000,947.43,402.41,-1000000,-1000000,-1000000,-1000000,3.88,220.25,43.66,9.05,404.45,80.18,16.61,7,-1
Deutsche Bank Unsecured Domestic,Q3 2014,A3,41912,-1000000,528.42,224.53,-1000000,-1000000,-1000000,-1000000,3.88,223.55,46.37,9.17,382.14,79.26,15.67,7,0
Deutsche Bank Unsecured Domestic,Q4 2014,A3,42004,-1000000,101.45,50.52,-1000000,-1000000,-1000000,-1000000,4,177.09,39.7,7.59,346.08,77.58,14.83,7,0
Deutsche Bank Unsecured Domestic,Q1 2015,A3,42094,-1000000,123.95,57.19,-1000000,-1000000,-1000000,-1000000,3.73,212.36,46.38,8.46,357.85,78.16,14.26,7,0
Deutsche Bank Unsecured Domestic,Q2 2015,A3,42185,-1000000,103.94,45.71,-1000000,-1000000,-1000000,-1000000,4.18,220.78,49.61,9.87,345.03,77.53,15.42,7,0
Deutsche Bank Unsecured Domestic,Q3 2015,A3,42277,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,3.72,244.08,50.39,9.78,384.35,79.35,15.4,7,0
Deutsche Bank Unsecured Domestic,Q4 2015,A3,42369,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,3.85,208.37,42.95,8.65,385.1,79.39,15.99,7,0
Deutsche Bank Unsecured Domestic,Q1 2016,Baa1,42460,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,3.54,236.64,47.2,9.05,401.35,80.05,15.34,8,-1
Deutsche Bank Unsecured Domestic,Q2 2016,Baa2,42551,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,3.43,253.07,48.75,9.38,419.1,80.74,15.53,9,-1
,,,,,,,,,,,,,,,,,,,
Google Senior Unsecured,Q1 2011,Aa2,40633,-2.93,0.32,-3.35,-1000000,-1000000,-1000000,0,81.47,0,0,0,6.58,6.18,5.36,3,0
Google Senior Unsecured,Q2 2011,Aa2,40724,-2.91,0.39,-3.34,-1000000,-1000000,-1000000,0,80.16,5.74,5.31,4.6,8.08,7.48,6.48,3,0
Google Senior Unsecured,Q3 2011,Aa2,40816,-3.03,0.37,-3.5,169.05,136.67,145.62,21,79.36,5.45,5.06,4.32,7.67,7.12,6.08,3,0
Google Senior Unsecured,Q4 2011,Aa2,40908,-3.03,0.36,-3.51,108.38,82.68,94.78,37,80.12,5.14,4.79,4.11,7.23,6.74,5.79,3,0
Google Senior Unsecured,Q1 2012,Aa2,40999,-3.02,0.43,-3.49,195,164.65,169.45,20,80,4.84,4.45,3.87,8.84,8.12,7.07,3,0
Google Senior Unsecured,Q2 2012,Aa2,41090,-2.47,0.47,-2.88,177.59,142.41,147.14,22,75.21,4.62,4.21,3.47,9.59,8.75,7.21,3,0
Google Senior Unsecured,Q3 2012,Aa2,41182,-2.64,0.48,-3.15,169.9,128.38,130.48,21,75.81,4.39,4.03,3.33,9.12,8.36,6.92,3,0
Google Senior Unsecured,Q4 2012,Aa2,41274,-2.8,0.43,-3.45,207,158.43,161.62,21,76.46,4.17,3.87,3.19,7.72,7.17,5.9,3,0
Google Senior Unsecured,Q1 2013,Aa2,41364,-2.82,0.39,-3.54,221.29,164,178.48,21,78.06,3.96,3.71,3.09,6.81,6.37,5.31,3,0
Google Senior Unsecured,Q2 2013,Aa2,41455,-2.99,0.37,-3.82,236.58,151.79,182.37,19,77.93,2.52,2.37,1.97,6.33,5.95,4.93,3,0
Google Senior Unsecured,Q3 2013,Aa2,41547,-2.91,0.37,-3.7,249.21,128.74,197.95,19,78.99,2.7,2.54,2.13,6.32,5.95,4.99,3,0
Google Senior Unsecured,Q4 2013,Aa2,41639,-2.87,0.34,-3.6,248.41,145.91,201.32,22,78.71,2.56,2.42,2.02,6.01,5.67,4.73,3,0
Google Senior Unsecured,Q1 2014,Aa2,41729,-2.78,0.4,-3.5,216.71,119,171.46,24,78.7,3.53,3.3,2.78,6.81,6.37,5.36,3,0
Google Senior Unsecured,Q2 2014,Aa2,41820,-2.81,0.32,-3.52,197.67,99.67,157.7,27,78.74,3.38,3.2,2.66,5.48,5.2,4.32,3,0
Google Senior Unsecured,Q3 2014,Aa2,41912,-2.79,0.32,-3.59,210.84,114.16,148.96,25,78.56,3.27,3.1,2.57,5.3,5.03,4.17,3,0
